repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,174000,https://gitub.com/tensorflow/tensorflow
transformers,huggingface,98700,https://gitub.com/huggingface/transformers
pytorch,pytorch,66500,https://gitub.com/pytorch/pytorch
keras,keras-team,58300,https://gitub.com/keras-team/keras
cs-video-courses,Developer-Y,55700,https://gitub.com/Developer-Y/cs-video-courses
scikit-learn,scikit-learn,54100,https://gitub.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,50900,https://gitub.com/tesseract-ocr/tesseract
face_recognition,ageitgey,48200,https://gitub.com/ageitgey/face_recognition
ML-For-Beginners,microsoft,48200,https://gitub.com/microsoft/ML-For-Beginners
awesome-scalability,binhnguyennus,45000,https://gitub.com/binhnguyennus/awesome-scalability
faceswap,deepfakes,44800,https://gitub.com/deepfakes/faceswap
d2l-zh,d2l-ai,43300,https://gitub.com/d2l-ai/d2l-zh
TensorFlow-Examples,aymericdamien,42700,https://gitub.com/aymericdamien/TensorFlow-Examples
julia,JuliaLang,42300,https://gitub.com/JuliaLang/julia
100-Days-Of-ML-Code,Avik-Jain,40800,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
DeepFaceLab,iperov,39100,https://gitub.com/iperov/DeepFaceLab
yolov5,ultralytics,38300,https://gitub.com/ultralytics/yolov5
caffe,BVLC,33300,https://gitub.com/BVLC/caffe
Made-With-ML,GokuMohandas,33200,https://gitub.com/GokuMohandas/Made-With-ML
Open-Assistant,LAION-AI,32200,https://gitub.com/LAION-AI/Open-Assistant
